CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/28/2016,23:30,BROOKLYN,11207,40.67816,-73.897484,"(40.67816, -73.897484)",JAMAICA AVENUE                  ,PENNSYLVANIA AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3450608,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,13:40,BROOKLYN,11209,40.620323,-74.02723,"(40.620323, -74.02723)",5 AVENUE                        ,88 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,3454521,4 dr sedan,4 dr sedan,,,
05/28/2016,14:33,,,40.82699,-73.909294,"(40.82699, -73.909294)",WASHINGTON AVENUE               ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3449006,4 dr sedan,,,,
05/28/2016,14:22,QUEENS,11416,40.684258,-73.84604,"(40.684258, -73.84604)",WOODHAVEN BOULEVARD             ,101 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3451318,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,15:10,,,,,,JUNCTION BOULEVARD              ,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3452243,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,16:00,BROOKLYN,11236,40.62935,-73.91833,"(40.62935, -73.91833)",,,1992      RALPH AVENUE                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3447004,4 dr sedan,4 dr sedan,,,
05/28/2016,22:00,,,,,,SOUND VIEW AVENUE               ,LELAND AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3449104,4 dr sedan,Motorcycle,,,
05/28/2016,18:59,,,40.8846,-73.88693,"(40.8846, -73.88693)",Mosholu Pkwy N                  ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3453339,4 dr sedan,4 dr sedan,,,
05/28/2016,13:00,,,40.75855,-73.82964,"(40.75855, -73.82964)",,,41 AVENUE                               ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3446620,4 dr sedan,4 dr sedan,,,
05/28/2016,0:30,MANHATTAN,10001,40.753925,-73.99761,"(40.753925, -73.99761)",DYER AVENUE                     ,WEST 34 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3457521,Station Wagon/Sport Utility Vehicle,Box Truck,,,
05/28/2016,17:50,MANHATTAN,10128,40.781944,-73.94568,"(40.781944, -73.94568)",1 AVENUE                        ,EAST 94 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3448416,Station Wagon/Sport Utility Vehicle,Bike,,,
05/28/2016,9:30,QUEENS,11434,40.68525,-73.77383,"(40.68525, -73.77383)",119 AVENUE                      ,MERRILL STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3452326,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/28/2016,12:00,,,,,,GOWANUS EXPY (BQE)              ,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unspecified,,,3446764,4 dr sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/28/2016,19:40,BROOKLYN,11209,40.61693,-74.02883,"(40.61693, -74.02883)",,,179       GELSTON AVENUE                ,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3446760,Station Wagon/Sport Utility Vehicle,Bike,,,
05/28/2016,22:19,MANHATTAN,10027,40.815544,-73.956924,"(40.815544, -73.956924)",WEST 126 STREET                 ,OLD BROADWAY,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3453050,4 dr sedan,,,,
05/28/2016,20:00,,,,,,BELT PKWY                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3446751,Motorcycle,4 dr sedan,,,
05/28/2016,19:00,,,40.703293,-73.7961,"(40.703293, -73.7961)",ARCHER AVENUE                   ,,,2,0,0,0,0,0,2,0,Obstruction/Debris,Obstruction/Debris,,,,3451413,Bus,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,22:05,BROOKLYN,11225,40.66525,-73.94816,"(40.66525, -73.94816)",NEW YORK AVENUE                 ,MONTGOMERY STREET,,4,0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3450348,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,6:35,BROOKLYN,11233,40.678116,-73.92172,"(40.678116, -73.92172)",RALPH AVENUE                    ,HERKIMER STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3450890,4 dr sedan,Bike,,,
05/28/2016,16:45,,,40.692066,-73.7654,"(40.692066, -73.7654)",NEWBURG STREET                  ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3452328,4 dr sedan,4 dr sedan,,,
05/28/2016,2:00,QUEENS,11372,40.747734,-73.883,"(40.747734, -73.883)",ROOSEVELT AVENUE                ,83 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3452077,4 dr sedan,4 dr sedan,,,
05/28/2016,15:01,,,40.84481,-73.92579,"(40.84481, -73.92579)",Cross Bronx Expy                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3446551,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,15:15,STATEN ISLAND,10307,40.505527,-74.23819,"(40.505527, -74.23819)",SPRAGUE AVENUE                  ,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454275,4 dr sedan,4 dr sedan,,,
05/28/2016,10:00,QUEENS,11427,40.677017,-73.92182,"(40.677017, -73.92182)",,,88-38     207 STREET                    ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3450887,Pick-up Truck,4 dr sedan,,,
05/28/2016,11:50,,,40.889114,-73.88925,"(40.889114, -73.88925)",Major Deegan Expy               ,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,3453174,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,17:40,MANHATTAN,10026,40.801285,-73.95394,"(40.801285, -73.95394)",WEST 113 STREET                 ,7 AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3458414,4 dr sedan,,,,
05/28/2016,22:45,,,40.72679,-73.98899,"(40.72679, -73.98899)",EAST 5 STREET                   ,,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Driver Inattention/Distraction,,,,3447741,4 dr sedan,4 dr sedan,,,
05/28/2016,0:10,,,40.637608,-74.025276,"(40.637608, -74.025276)",3 AVENUE                        ,SENATOR STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3450161,Motorcycle,Sedan,,,
05/28/2016,12:53,QUEENS,11691,40.60123,-73.75183,"(40.60123, -73.75183)",BEACH 19 STREET                 ,EVERDELL AVENUE,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3451253,Station Wagon/Sport Utility Vehicle,,,,
05/28/2016,18:40,,,,,,,,east broadway street                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3447179,4 dr sedan,nyc f,,,
05/28/2016,21:10,,,40.81662,-73.86571,"(40.81662, -73.86571)",RANDALL AVENUE                  ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3449088,4 dr sedan,4 dr sedan,,,
05/28/2016,12:00,MANHATTAN,10010,40.73855,-73.98043,"(40.73855, -73.98043)",EAST 24 STREET                  ,2 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3447922,Taxi,4 dr sedan,,,
05/28/2016,9:49,MANHATTAN,10025,40.803566,-73.96715,"(40.803566, -73.96715)",WEST 109 STREET                 ,BROADWAY,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3460249,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/28/2016,16:46,,,40.71008,-73.84848,"(40.71008, -73.84848)",72 AVENUE                       ,METROPOLITAN AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3452244,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,14:00,MANHATTAN,10002,40.722485,-73.98877,"(40.722485, -73.98877)",,,200       ALLEN STREET                  ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3447178,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
